"","SRR3191542","SRR3191543","SRR3191544","SRR3191545","SRR3194428","SRR3194429","SRR3194430","SRR3194431"
"ZNF516",70.9600658230344,77.367595509267,101.54989406884,113.67174088705,81.2889796329624,80.4250675803592,103.169723546994,105.403045054933
"C18orf65",0.550789644163268,1.37280904579181,0.298383626059274,0.289241070959416,0.8689582958983,1.22810400768755,0.801007170395912,0.918545054944954
"LINC00908",0.0917982740272114,0,0,0,0.0413789664713476,0.0314898463509629,0,0
"LINC00683",0,0,0,0,0.0206894832356738,0.0157449231754814,0,0
"LOC101927651",0,0,0,0,0,0.0157449231754814,0.0200251792598978,0
"LOC400661",0,0,0,0,0,0,0,0
"LOC100131655",1.83596548054423,1.27475125680668,1.39245692160995,0.771309522558441,0.765510879719931,0.771501235598591,0.881107887435504,1.14818131868119
"ZNF236",33.414571745905,32.5551859430629,30.9324359014781,35.1909969667289,33.6410997412056,36.6856709988718,34.1429306381258,34.9506393406555
"MBP",1.46877238443538,0.980577889851293,2.18814659110134,1.54261904511688,1.42757434326149,1.79492124200489,2.04256828450958,1.9289446153844
"GALR1",0.367193096108846,0,0.19892241737285,0,0.103447416178369,0.11021446222837,0.160201434079182,0.206672637362615
"LINC01029",0,0,0,0,0,0,0,0
"SALL3",1.65236893248981,2.45144472462823,2.68545263453347,5.39916665790909,2.71032230387327,3.08600494239436,3.20402868158365,3.65121659340619
"ATP9B",28.1820701263539,31.9668392091522,37.5963368834686,38.4690624376023,31.2411196858674,31.4741014277874,35.9652219507765,35.1573119780181
"NFATC1",5.32429989357826,4.11842713737543,4.47575439088912,4.43502975471104,3.97238078124937,4.39283356595932,2.94370135120498,3.23787131868096
"CTDP1",33.5981682939594,36.7716708694235,42.2710136917305,40.6865773149578,32.8962783447213,35.5205466838862,41.4120707094687,40.4389460439516
"KCNG2",0.275394822081634,0.196115577970259,0,0.19282738063961,0.186205349121064,0.188939078105777,0.140176254819285,0.114818131868119
"PQLC1",41.5846181343268,45.3026985111298,47.9403025868567,43.8682290955114,35.9790113468367,39.8346556339681,39.5297038590383,40.9441458241713
"HSBP1L1",2.66214994678913,2.3533869356431,1.5913793389828,1.34979166447727,2.19308522298142,2.22003416774288,1.50188844449234,1.28596307692294
"TXNL4A",48.7448835084493,44.1260050433082,43.0667033612219,48.978154682461,51.4340553238851,51.0450409349109,50.4634517349425,48.9584514285661
"RBFA",29.100052866626,32.3590703650927,20.8868538241492,22.3679761541948,30.3100929402621,31.2064377338042,21.0664885814125,22.1139721977998
"RBFADN",1.83596548054423,0.294173366955388,3.08329746927917,2.50675594831493,1.82067452473929,1.79492124200489,2.16271936006896,1.69930835164817
"ADNP2",66.9209417658371,71.3860703811742,76.5851306885471,84.2655653395097,70.6959642162974,71.0096035214213,86.22842189312,82.3016369230679
"PARD6G-AS1",5.50789644163268,4.0203693483903,5.66928889512621,2.89241070959416,5.25512874186115,4.92816095392569,4.40553943717752,4.13345274725229
"PARD6G",50.3972524409391,51.9706281621186,46.4483844565604,48.3996725405422,54.8891990242426,53.3595446417066,46.2982144488837,49.1880876923023
"WASH5P",0,0.196115577970259,0.0994612086864248,0,0.0206894832356738,0.0472347695264443,0.0200251792598978,0.0229636263736239
"OR4F17",0,0,0,0,0,0,0,0
"LINC01002",0.0917982740272114,0.196115577970259,0.19892241737285,0,0.144826382649717,0.11021446222837,0.0801007170395912,0.114818131868119
"PPAP2C",0.0917982740272114,0.392231155940517,0.397844834745699,0.771309522558441,0.0827579329426952,0.236173847632222,0.240302151118774,0.206672637362615
"MIER2",35.8013268706124,37.6541909702897,44.4591602828319,38.2762350569627,31.2824986523388,36.3550276121867,36.9865060930313,39.5433646153803
"THEG",0,0,0,0,0,0.0472347695264443,0.0200251792598978,0.0229636263736239
"C2CD4C",33.7817648420138,48.7347211256093,16.2121770158872,18.800669612362,38.3376124357036,42.0704347248864,17.4619563146309,18.2790465934046
"SHC2",90.7884930129121,100.215060342802,132.482329970318,123.313109919031,78.7027942285031,92.9895162743934,116.626644009645,113.371423406581
"ODF3L2",0,0.196115577970259,0,0,0.0827579329426952,0.125959385403852,0.200251792598978,0.114818131868119
"MADCAM1",0.64258791819048,0,0.19892241737285,0,0.227584315592412,0.141704308579333,0.0600755377796934,0.0918545054944954
"TPGS1",9.54702049882999,10.590241210394,8.55366394703253,10.6055059351786,10.530946966958,11.4623040717505,10.8536471588646,11.2062496703284
"CDC34",73.8976105919052,83.2510628483748,103.240734616509,94.2925891327695,67.5718522477106,75.3709472410297,84.7265334486276,83.4957454944963
"GZMM",0.275394822081634,0.392231155940517,0.994612086864248,0.385654761279221,0.16551586588539,0.33064338668511,0.520654660757343,0.321490769230734
"BSG",398.863500648234,439.593068020335,389.291170798667,402.045088633588,367.838322447045,389.560889207762,353.724766446835,367.670621868091
"HCN2",7.16026537412249,9.51160553155755,12.1342674597438,10.9911606964578,6.35167135335186,7.33713419977436,10.9537730551641,10.2188137362626
"POLRMT",53.1512006617554,61.384175904691,62.2627166377019,60.5477975208377,42.8272302978448,49.3760790783098,45.9577864014655,46.6620887912037
"FGF22",0.367193096108846,0.588346733910776,0.298383626059274,0,0.455168631184824,0.299153540334148,0.120151075559387,0.183709010988991
"RNF126",35.617730322558,46.7735653459067,60.7707985074055,64.5971725142695,32.916967827957,39.047409475194,54.5886386624814,51.9896501098844
"FSTL3",8.17004638842181,5.6873517611375,4.47575439088912,3.37447916119318,5.58616047363193,6.89627635086087,4.20528764457854,3.19194406593372
"PRSS57",0.183596548054423,0,0,0.19282738063961,0.0413789664713476,0.0157449231754814,0,0.0688908791208716
